06E6XMGjIr0YUCl5JvbxrqeJ|15|if0 shr16 shr4 tfold xor|12400640
0nerZhV3esOnohpAhcMQmj9N|8|plus tfold|16
0otcN3ySPUtJyYShzS5DcH3W|8|not shr16 shr4 xor|20817
10Q7AwfKPBP35ESGYunWn5wm|11|and or shr1 tfold|2884
1YkgDsBpODEBfAIvuHJFe9Nk|12|fold not or shr1|6361590
1e453WASMuz6a2BCxZSAN4uf|10|and if0 shl1|124617
2aB6L0BZHKJmknCVDEL4sniV|8|not shl1 tfold|16
2e82yxhj7YHZDA79p5Gh8tDH|13|if0 not plus shl1 tfold|272896
2fozdq0b4Qv2S2Orx0ayhBar|11|if0 shr16 shr4 xor|3235380
30iuiBO5VRzmS8Bk2S1sE9ZW|11|fold not plus shr16 shr4|5465043
3DEQErSNZzfBl8Ibq2j4B7h1|9|if0 not shr1 shr16 shr4|311484
3ObtF3WykgUTS61ytbTYxD7B|13|if0 shr1 shr16 tfold xor|272896
4BvuiikB7VhlJrtcRCRYag4v|7|and or shr4|1263
4dB7ij7N7bmdaYWmTL4gm82G|7|not plus shl1 shr16|3969
4iq92BAN2A7wZjA2KPWaDqlH|11|if0 plus tfold|1280
51CAjrzZhAAxS2bmKsyh5qMp|9|or shl1 tfold|52
5DSfXcRS6v1rAyZsXg9YRUBB|3|shr4|3
5P9HtVLderyBlyUT5nIvlmW6|10|and tfold xor|512
5fd3Ta0qBdWNFWvpxfA9066g|10|and if0 or shl1|432183
5g6tug2ECNpHnH6bEpBmu9B3|5|not or|30
60uQpd1YxgeLL9yBOUu8wcbz|6|and plus|216
6Cy3E7hgcvbLamJcNwvm1g8H|14|and if0 shr1 tfold|507588
6H0A1guc2ovARkNMUHAA8nZf|10|not plus shl1 tfold|576
6lMgXR57xRQvw9UQa5eIkpbe|11|and if0 not plus shr1|10570740
6xZJdw1cXfIQVVniI38zSugb|10|not plus tfold|228
6zrnePTbWsa5YCBVbABgLoD6|8|plus tfold|16
71D3MvvyCvmuE3pcB9AJgEYJ|10|or plus tfold|512
7AOEXW5l1EAAAOPVmzWyU1jA|5|or shr16|30
7AgE5CoyKeUpULVRsiigjBQo|8|or plus shl1 shr4|20712
7BaqWCBpXYBMDH7EJkf8ZWZu|12|and plus shr16 shr4 tfold|48896
7DcpEsmxAeAkrrIfQM6z0CMH|11|fold plus shl1 shr1|1193892
7hSsfnbus3xUdcbSFfFslBPa|3|shl1|3
7pIACDnYMdPcWc6aAxljOoGr|6|not shr1 shr4|243
7sO19PSTApOMVvP2OuZliSZF|5|plus shr1|30
7xWimNs1M4AwoGCgBIYF2sBn|8|plus shr16|1353
82IWXymQKCKabbYIeYHNhkH7|12|if0 or shl1 tfold|15476
8AV3gbJt3zRu8zrB7HWszcwA|13|if0 or plus tfold|86016
8Hn3jjODwspxPGPlrzj1h04g|9|plus shl1 tfold|52
8HquI5zpABIccuJCV6sdZd3w|3|shr16|3
8UJesrhlb2hnZrEg0Z5VuqxQ|5|and not|30
8X6fLkfce85LNY8C4AdOEflY|9|if0 shl1 shr16 shr4|98415
8csAiKUHXay56u4a7AL9sfMB|13|if0 plus tfold xor|86016
8honHc7OeiLFoRVVT1RB93rI|7|not or shr4|1356
8rZtAuM8MA1nX3oE1ZNr3FWc|10|and if0 not|124617
94FpwAB9GQRUz90tEHmCzG0w|6|plus shr16 shr4|318
94swoBLouqIZGrEEDeAbOsBm|5|or shr16|30
9zPAmEAtV0O2dUcOO6X7VDsP|8|plus shl1 shr4|5997
A1tiOoThUGvjS5h8lnx6OsRB|8|shr1 tfold|4
A2Ex9ViftMDf6PKjkvg8ZPQ5|10|if0 not tfold|260
A3JHWNiRTfopTzYHAArGf6CB|8|plus tfold|16
A65OtLAIX61hCWxaOBS9eA1G|8|and tfold|16
A7jmHZi58HDPnUnGjqriR0gq|10|plus shr1 shr4 tfold|576
A8PHwyRztzyBtjTLsfAA7KKi|11|if0 shr1 shr16 tfold|2688
AIOXrBdAl3zMAbYm3EVz0ruM|12|fold plus shl1 shr4|6361590
AIYCR3JcQ3AGKHrgBuprR9u5|11|and or shr16 tfold|2884
AU77qwsnk3OuOftCjZBoKYW6|14|if0 or shr16 tfold xor|1703300
AcgNNAdLwuRo9Cij30jl1J7B|11|fold or shr4|205329
AkOJQ9BA22yIV0Qx5SqDwQ27|7|plus shr1 shr16 shr4|3969
An4q6sQv10rqJ4MqwWgYybce|9|and if0 or|20412
ArzQEupu3CFPBHs8bd4cKUvW|11|and or shr16 tfold|2884
B6yEVBzouEZRgtO9YaBvOIYz|13|if0 not shl1 shr1 tfold|254700
BGiB4YKN17McqSaphoGh0FXN|12|plus shl1 tfold|3444
BPjyagkw1awWKrA7rSmVT6A5|15|and if0 not tfold|3024964
BUifJ5ALzLS60D5fPAo9Dp6F|12|and fold plus shl1|7168269
BXzRnlL6TwJ7e92eIAqNtAqE|13|if0 not or shr1 tfold|272896
Bb0wbg3EHqsszcY9ObL3GNqc|4|not shl1|12
BdOs3mHg2WqZmaCpESfualhk|11|not shl1 shr1 tfold xor|7212
Bi8KDPRNtmAdhAA3B45iYzxH|10|and if0 plus shl1|432183
Bl4zecGv5JNFDkyeCCVCMKFO|14|if0 plus shr1 shr16 tfold|1821696
BnzxmrMGZd5DI9JW4Rb6m8aH|7|not or shl1 shr4|3969
BpUFlXyImI27SksLNQQsN8oX|8|tfold xor|16
BtbELD9uD11BozxbOaqLeMy5|5|not or|30
C8txzSxNX7cYSdXkqAaXh38x|5|and not|30
CBYGfkeLkuRDEBqHStY6WC1n|4|plus|9
CJTFNYXcLNRVEL60PGHgbMIZ|10|or tfold xor|512
CgGovLib1YDiODsmcVLj0EXR|8|tfold xor|16
Cjbg4YcuSPGB3DirqV8zFKym|10|if0 or plus shr4|432183
CmEpqbOkgzFgiM3ZVB3r3eIU|7|or shr16|363
Cp59HQx3JbnB9GFtAkZcBeEE|11|or shr16 tfold xor|2884
CqSoxrZj4XljWXCNru1hyHCe|14|if0 shr1 shr4 tfold xor|1821696
DUHB7w3PcdJVSBz3mKsJ6wEu|9|if0 shl1 shr1 xor|91671
DYP1Tm0mdUW66yUEkCuKf2YW|4|shl1 shr16|12
DjwV3n4UQBhVfyJHgf2TJdaL|4|and|9
Dqc65CwBR5CdJrhVE42yAi0r|3|not|3
EARK5kCVKFQq7HmqpzQhMjMO|3|shr4|3
Eo94TiyGbfIAOGI9MrLvESrX|13|if0 shr1 tfold xor|85908
F1enPumCG1hWax3YMQMVSXb0|10|if0 plus shl1 shr1 shr16|1921401
FFapXeerReSQjNZngEBSMjIe|12|fold if0 plus shl1|5415546
FI9C6eyxbOwTLpnr3offiSY7|3|not|3
FSnIl4dBqc9qBTRW9zf3zjZ4|3|shl1|3
Fch8ePwZyBUxrCWYoe2dOBOs|4|shl1 shr1|12
Fuzjxohe9QVMrQe5I3yNfBxm|4|shl1|3
GAGhYQ3QaSHDUYJVaGoHOvKb|12|not plus shr1 tfold xor|48896
GN5EgAI8NDZGyNjlFbOeubTj|8|not or plus shl1|20712
GaBmrJB7YFWMwEtduMUcR0aY|10|and if0 plus shr16|432183
GdEVVFTgcO5WfOLkOtiDPnOt|13|if0 not plus shr16 tfold|272896
GlANobQaJhjwjrmsIcsXejCf|3|shr4|3
GwDbLAtiKJTl79zSJe3RV6Kj|3|shr16|3
H66So1FW2cyXO80COTYCJKcA|14|if0 or plus shr4 tfold|1703300
